Precursor;Activator;Activator_carbon_ratio;Activation T (K);T adsorption (K);P adsorption (bar);CO2 ads (mmol/g);CO2ads_2bins_5050;CO2ads_4bins;CO2ads_10bins;CO2ads_7228;adsorption_all_inputs;adsorption_only_BETpore;adsorption_wo_BETpore;adsorption_all_inputs_woNAME;adsorption_wo_BETporeNAME
Poplar Wood;KOH;2;873;273;1;2;0;1;3;0;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Poplar Wood as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 511.0 m2/g and a pore volume of 0.22 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 511.0 m2/g and a pore volume of 0.22 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Poplar Wood as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 511.0 m2/g and a pore volume of 0.22 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K
Waste wool;KOH;1;873;298;1;2.32;0;1;4;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Waste wool as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K, and has a BET surface area of 1010.0 m2/g and a pore volume of 0.57 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1010.0 m2/g and a pore volume of 0.57 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Waste wool as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K, and has a BET surface area of 1010.0 m2/g and a pore volume of 0.57 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K
Waste wool;KOH;3;873;298;1;2.78;1;2;5;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Waste wool as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K, and has a BET surface area of 1352.0 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1352.0 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Waste wool as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K, and has a BET surface area of 1352.0 m2/g and a pore volume of 0.78 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K
Waste wool;KOH;5;873;298;1;2.35;0;1;4;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Waste wool as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1420.0 m2/g and a pore volume of 0.86 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1420.0 m2/g and a pore volume of 0.86 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Waste wool as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1420.0 m2/g and a pore volume of 0.86 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K
Chrysanthemum tea;ZnCl2;1;1273;298;1;3.8;1;2;6;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K
Chrysanthemum tea;ZnCl2;1;1273;298;0.8;3;1;2;5;0;an activated carbon at 298 K and 0.8 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.8 bar, which has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.8 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K;an activated carbon at 298 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.8 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K
Chrysanthemum tea;ZnCl2;1;1273;298;0.6;2.3;0;1;4;0;an activated carbon at 298 K and 0.6 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.6 bar, which has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.6 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K;an activated carbon at 298 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.6 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K
Chrysanthemum tea;ZnCl2;1;1273;298;0.4;1.25;0;0;2;0;an activated carbon at 298 K and 0.4 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.4 bar, which has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.4 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K;an activated carbon at 298 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.4 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K
Chrysanthemum tea;ZnCl2;1;1273;298;0.2;0.7;0;0;0;0;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.2 bar, which has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Chrysanthemum tea as precursor, activated with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K, and has a BET surface area of 1840.0 m2/g and a pore volume of 1.16 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with ZnCl2 with an activator/carbon weight ratio of 1 at an activation temperature of 1273 K
Cork;KOH;3;973;298;1;4.27;1;3;7;1;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Cork as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 2010.0 m2/g and a pore volume of 0.82 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 2010.0 m2/g and a pore volume of 0.82 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Cork as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 2010.0 m2/g and a pore volume of 0.82 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K
Cork;KOH;3;973;273;1;7.82;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Cork as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 2010.0 m2/g and a pore volume of 0.82 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 2010.0 m2/g and a pore volume of 0.82 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Cork as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 2010.0 m2/g and a pore volume of 0.82 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K
Coffee grounds;K2CO3;1;973;298;1;4.54;1;3;8;1;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Coffee grounds as precursor, activated with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 973 K, and has a BET surface area of 1476.0 m2/g and a pore volume of 0.61 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1476.0 m2/g and a pore volume of 0.61 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Coffee grounds as precursor, activated with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 973 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 973 K, and has a BET surface area of 1476.0 m2/g and a pore volume of 0.61 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 973 K
Coffee grounds;K2CO3;1;1073;273;1;7.18;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Coffee grounds as precursor, activated with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 1073 K, and has a BET surface area of 1692.0 m2/g and a pore volume of 0.71 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1692.0 m2/g and a pore volume of 0.71 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Coffee grounds as precursor, activated with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 1073 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 1073 K, and has a BET surface area of 1692.0 m2/g and a pore volume of 0.71 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with K2CO3 with an activator/carbon weight ratio of 1 at an activation temperature of 1073 K
Garlic peel;KOH;2;873;298;1;4.22;1;3;7;1;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 947.0 m2/g and a pore volume of 0.51 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 947.0 m2/g and a pore volume of 0.51 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 947.0 m2/g and a pore volume of 0.51 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K
Garlic peel;KOH;2;873;273;1;6.25;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 947.0 m2/g and a pore volume of 0.51 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 947.0 m2/g and a pore volume of 0.51 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 947.0 m2/g and a pore volume of 0.51 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K
Garlic peel;KOH;2;973;298;1;3.95;1;2;7;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1179.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1179.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1179.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K
Garlic peel;KOH;2;1073;298;1;2.75;1;2;5;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K, and has a BET surface area of 1262.0 m2/g and a pore volume of 0.7 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1262.0 m2/g and a pore volume of 0.7 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K, and has a BET surface area of 1262.0 m2/g and a pore volume of 0.7 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K
Garlic peel;KOH;4;873;298;1;2.78;1;2;5;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 1116.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1116.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 1116.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K
Garlic peel;KOH;2;973;273;1;5.9;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1179.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1179.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1179.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 973 K
Garlic peel;KOH;2;1073;273;1;4.1;1;2;7;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K, and has a BET surface area of 1262.0 m2/g and a pore volume of 0.7 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1262.0 m2/g and a pore volume of 0.7 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K, and has a BET surface area of 1262.0 m2/g and a pore volume of 0.7 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1073 K
Garlic peel;KOH;4;873;273;1;4.3;1;3;7;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 1116.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1116.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Garlic peel as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 1116.0 m2/g and a pore volume of 0.63 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K
Wheat;KOH;3;973;273;1;5.7;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Wheat as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 1438.0 m2/g and a pore volume of 0.65 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1438.0 m2/g and a pore volume of 0.65 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Wheat as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 1438.0 m2/g and a pore volume of 0.65 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K
Wheat;KOH;3;973;298;1;3.48;1;2;6;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Wheat as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 1438.0 m2/g and a pore volume of 0.65 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1438.0 m2/g and a pore volume of 0.65 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Wheat as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K, and has a BET surface area of 1438.0 m2/g and a pore volume of 0.65 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 973 K
Pineapple;K2C2O4;2;973;273;1;5.32;1;3;8;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Pineapple as precursor, activated with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1076.0 m2/g and a pore volume of 0.08 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1076.0 m2/g and a pore volume of 0.08 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Pineapple as precursor, activated with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1076.0 m2/g and a pore volume of 0.08 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K
Pineapple;K2C2O4;2;973;298;1;4.25;1;3;7;1;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Pineapple as precursor, activated with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1076.0 m2/g and a pore volume of 0.08 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1076.0 m2/g and a pore volume of 0.08 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Pineapple as precursor, activated with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K, and has a BET surface area of 1076.0 m2/g and a pore volume of 0.08 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with K2C2O4 with an activator/carbon weight ratio of 2 at an activation temperature of 973 K
Coconut shell;KOH;3;873;273;1;6.04;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Coconut shell as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K, and has a BET surface area of 1172.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1172.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Coconut shell as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K, and has a BET surface area of 1172.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K
Coconut shell;KOH;3;873;298;1;4.23;1;3;7;1;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Coconut shell as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K, and has a BET surface area of 1172.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1172.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Coconut shell as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K, and has a BET surface area of 1172.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 873 K
Paulownia sawdust;KOH;4;873;273;1;7.45;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Paulownia sawdust as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 782.0 m2/g and a pore volume of 0.414 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 782.0 m2/g and a pore volume of 0.414 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Paulownia sawdust as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K, and has a BET surface area of 782.0 m2/g and a pore volume of 0.414 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 873 K
Paulownia sawdust;KOH;4;973;273;1;8;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Paulownia sawdust as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K, and has a BET surface area of 1643.0 m2/g and a pore volume of 0.857 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1643.0 m2/g and a pore volume of 0.857 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Paulownia sawdust as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K, and has a BET surface area of 1643.0 m2/g and a pore volume of 0.857 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 973 K
Paulownia sawdust;KOH;4;1073;273;1;7.14;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Paulownia sawdust as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 1073 K, and has a BET surface area of 1555.0 m2/g and a pore volume of 0.905 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1555.0 m2/g and a pore volume of 0.905 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Paulownia sawdust as precursor, activated with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 1073 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 1073 K, and has a BET surface area of 1555.0 m2/g and a pore volume of 0.905 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 4 at an activation temperature of 1073 K
